,Costo,Ubicacion,No_habitaciones,No_banios,No_estacionamiento,No_metros,Descripcion
410,16500,Centros Comerciales Desarrollo Atlixcayotl,3,2.0,2.0,,"departamento en renta en  inspiralta enfrente de angelopolis
tres recamaras 
dos baños
recamara principal con baño y vestidor 
sala comedor
cocina abierta
terraza con vista
roof garden
estacionamiento para dos coches
vigilancia 24 horas
elevador
$16500"
411,8500,Santa Cruz Buenavista Norte,2,2.0,2.0,,"departamento en zavaleta en excelente ubicacion
atrás de centro mayor 
ubicado atrás de centro mayor en calzada zavaleta con recta a cholula
dos recamaras con dos baños
sala comedor
cocina integral
área de lavado
estacionamiento para dos autos
vigilancia 24 horas
renta $8500
lic. de la  concha
(222) 912-6109"
412,13500,Bello Horizonte,3,2.0,,,"departamento en el barreal cholula muy cerca de la udla
3 recamaras  
recámara principal con  clóset  y baño
recámaras secundarias con con clóset 
comparten baño
amplia sala comedor 
medio baño de visitas
cocina integral
area de lavado 
amplio espacio de estacionamiento 
excelentes accesos por periférico 
2 minutos de udla
renta $13500"
413,14000,La Paz,2,1.0,1.0,,"departamento  ubicado a dos calles de la avenida juárez
dos recamaras con closet amplio
un baño completo
sala comedor 
cocina abierta 
área de lavado 
roof garden 
salón de eventos 
gimnasio
un lugar de estacionamiento 
vigilancia 24 horas
no aceptan mascotas
lic. de la concha
renta $15000"
414,16000,La Paz,3,3.0,1.0,,"departamento sobre la avenida juarez excelente ubicación
tres recámaras
dos baños y medio
sala comedor
cocina
área de lavado
cuarto de servicio con baño completó
un lugar de estacionamiento
vigilancia 24 horas
renta $16,000 con mantenimiento incluido
lic. de la concha
(222) 912-6109"
415,9500,Reserva Territorial Atlixcáyotl,2,2.0,1.0,,"departamento en renta en mayorazgo cerca del tec de monterrey
dos recámaras
dos baños completos
closets
persianas
cocina integral
sala comedor amplio
área de lavado
2 lugares estacionamiento
elevador
área de asador
vigilancia 24/7
fraccionamiento cerrado
un lugar de estacionamiento
renta $9500
lic.de la concha
(222) 912-6109"
416,9500,La Paz,3,1.0,1.0,,"departamento  en en la colonia la paz en excelente ubicación
tres recámaras con clóset
un baño
sala comedor
renta $9500
terraza
cocina cerrada
área de lavado
un lugar de estacionamiento
renta $9500"
417,7500,Reserva Territorial Atlixcáyotl,3,2.0,2.0,,"departamento en renta en floresta mayorazgo excelente ubicación a 5 minutos de angelopolis con vías de acceso
dos recámaras 
un baño 
sala comedor 
cocina intgral
elevador
un lugar de estacionamiento 
vigilancia 24 horas
áreas  comunes
renta $7500"
418,18000,Centros Comerciales Desarrollo Atlixcayotl,2,2.0,2.0,,"departamento amueblado en angelopolis 
dos recámaras
recámara principal con clóset y baño
recámara secundaria con clóset comparte baño
sala comedor
cocina integral
área de lavado
estacionamiento para dos coches
roof garden
vigilancia 24 horas
renta $18000 a tratar"
419,23000,Centro Comercial Angelopolis,3,3.0,2.0,,"amplio departamento en el parque del arte
tres recámaras con baño
recámara principal con vestidor y baño
recámaras secundarias con clóset y baño
sala comedor con vista espectacular
medio baño de servicio
cocina
cuarto de lavado
cuarto de servicio con baño
bodega
amenidades
renta $23000"
420,9500,La Paz,3,1.0,1.0,,"departamento  en en la colonia la paz en excelente ubicación
tres recámaras con clóset
un baño
sala comedor
terraza
cocina cerrada
área de lavado
un lugar de estacionamiento
no se aceptan mascotas
renta $9500"
421,7000,Reserva Territorial Atlixcáyotl,2,1.0,1.0,,"departamento en renta en mayorazgo cerca del tec de monterrey
dos recámaras
dos baños completos
closets
persianas
cocina integral
sala comedor amplio
área de lavado
2 lugares estacionamiento
elevador
área de asador
vigilancia 24/7
fraccionamiento cerrado
un lugar de estacionamiento
renta $7000 incluye mantenimiento"
422,8500,Bello Horizonte,3,2.0,2.0,,"departamento en renta muy cerca de forjadores y  calzada zavaleta en excelente ubicación
 m construcción
tres recámarasl
recamara principal con baño y vestidor
recámaras secundarias con clóset comparten baño
sala comedor
cocina integral abierta
estacionamiento para dos coches 
portón eléctrico
venta $8500 a tratar"
423,12000,Reserva Territorial Atlixcáyotl,2,2.0,2.0,,"departamento  en excelente ubicación casiopea e
enfrentee al crit y cerca de universidaades 
tres recamaras 
recámara principal con vestidor y baño
recámaras secundarias  con closet  comparte  baño 
sala comedor 
cocina abierta 
medio baño de visitas
área de lavado
elevador
dos cajones  de estacionamiento
amenidades 
salon de usos múltiples 
área verde
vigilancia 24 horas
renta $12000"
424,16000,La Paz,3,2.0,2.0,,"departamento en renta en la colonia la paz
departamento amueblado torre fresnos en la colonia las animas excelente ubicación
2 recámaras con clóset
2 baños completos
cuarto de lavado 
cocina
sala comedor
terraza
2 espacios de estacionamiento
tec
hado
bodega
roof garden
elevador
vigilancia 24 horas
$19500 a tratar
m recámaras 
recamara principal con clóset y baño
recamaras secundarias con clóset comparten baño
sala comedor 
cocina integral
área de lavado
roof garden con medio baño
elevador
estacionamiento techado
bodega
vigilancia 24 horas
renta $16000
póliza jurídica"
425,14000,La Paz,2,3.0,2.0,,"renta de departamento en  la colonia la paz excelente ubicación
dos recámaras con vestidor y baño
sala comedor
clóset de blancos
medio baño de visitas
cocina integral
área de lavado 
baño de servicio completo
lobby
roof garden con medio baño
elevador
estacionamiento techado
bodega
vigilancia 24 horas
renta $140000"
426,15000,La Paz,2,2.0,2.0,,"torre laurel
dos recámaras con clóset
recamara principal con vestidor y baño
secundaria con clóset  comparte baño
sala comedor con balcon
cocina integral 
área de lavado
cuarto de servicio completo
bodega 
dos lugares de estacionamiento 
roof garden 
elevador 
$15000"
427,15000,La Paz,2,1.0,1.0,,"departamento  ubicado a dos calles de la avenida juárez
dos recamaras con closet amplio
un baño completo
sala comedor 
cocina abierta 
área de lavado 
roof garden 
salón de eventos 
gimnasio
un lugar de estacionamiento 
vigilancia 24 horas
no aceptan mascotas
lic. de la concha
renta $15000"
428,4500,Resurgimiento Cd. Nte,3,1.0,,90.0,"bonito departamento en renta en planta baja

zona centro 

por parque ecologico


precio $4,500.00

ubicación: excelente ubicación a 4 cuadras del parque ecológico y a 2 kilómetros del centro de la ciudad (10 min)
dirección: 4 oriente 2624, número interior 4
col. resurgimiento cd norte (santa barbara norte). puebla, puebla
construcción: 90 m2
el edificio consta de 2 niveles, 
el departamento se encuentra en planta baja, 
cuenta con piso laminados, cortinas y protecciones.
en excelente estado de conservacion. 
descripcion: 
?	3 recamaras,
?	sala- comedor, 
?	cocina integral
?	un baño completo, 
?	2 zotehuelas techadas:
una zotehuela para área de lavado y servicios
otra zotehuela para área de tendido 
?	calentador de paso, 
?	tinaco rotoplas con capacidad de 750  litros 


el departamento ya esta desocupado y listo para habitarlo

mas nformes
(222) 912-6455

candy matus"
429,12500,La Loma,2,2.0,2.0,90.0,"departamento en puebla en torre siete
ubicado en zavaleta
cercanías con la udlap ibero tecnologico de monterrey
cerca de club deportivos como britania zavaleta, parque para correr, ciclopista, y centros comerciales como angelópolis.
el departamento se encuentra en un nivel 10 con una vista espectacular viendo la zona sur de puebla, y los dos volcanes, cuenta con salón de usos multiples con terraza grande, dos casetas de vigilancia, y amenidades como gimnasio, sala de juntas, y mesa de ping pong.
al entrar al departamento, se encuentra la sala comedor y con una cocina integral abierta con cubierta de granito  junto a ella está el área de lavado, la sala comedor tiene una vista espectacular a los volcanes, y tiene un baño completo para la segunda recámara y para visitas, la recámara principal con baño completo y clóset y ventana para la vista al sur de la ciudad de puebla, y la recámara secundaria cuenta con clóset y una ventana con vista a los volcanes.
cuenta con dos cajones de estacionamiento techado, elevador y un área de jardín."
430,11500,Centros Comerciales Desarrollo Atlixcayotl,2,2.0,2.0,100.0,"hermoso departamento en renta frente a centro comercial angelopolis, a un lado de la ibero, atlixcayotl, boulevard niño poblano, comercios y bancos muy cercanos.
sala comedor
cocina integral equipada
área de lavado
sala de tv
2 recámaras 
2 baños completos
estacionamiento para 2 autos
elevador y vigilancia las 24 
amueblado $13, 500 mto incluido"
431,18000,Centro,1,2.0,1.0,122.0,"increíble departamento en el corazón de la ciudad con acabados de primera. disfruta de todo lo que el centro histórico tiene para ofrecerte viviendo en un lugar único.

características:
-	3 pisos 
-	1 habitación
-	estudio/ cuarto tv con balcón
-	sala
-	comedor
-	2 baños completos
-	cocina integral de acero inoxidable
-	incluye un cajón de estacionamiento 
-	mantenimiento, agua y luz de áreas comunes incluidos en el precio de la renta
-	la estufa y el calentador son eléctricos. cada departamento tiene cinco paneles solares para reducir el consumo de luz.
-	el edificio cuenta con un sistema de captación de agua pluvial y reciclado de aguas grises para poder aprovechar al máximo el agua.

122 m2 de construcción. 

precio de renta: $18,000.00"
432,20000,Centro,2,2.0,1.0,126.0,"increíble departamento en el corazón de la ciudad con acabados de primera. disfruta de todo lo que el centro histórico tiene para ofrecerte viviendo en un lugar único.

características:
-	3 pisos 
-	patio interno y balcón propio
-	2 habitaciones
-	2 baños completos
-	cocina integral de acero inoxidable
-	incluye un cajón de estacionamiento 
-	mantenimiento, agua y luz de áreas comunes incluidos en el precio de la renta
-	la estufa y el calentador son eléctricos. cada departamento tiene cinco paneles solares para reducir el consumo de luz.
-	el edificio cuenta con un sistema de captación de agua pluvial y reciclado de aguas grises para poder aprovechar al máximo el agua.
-       el departamento se renta sin muebles.

126 m2 de construcción. 

precio de renta: $20,000.00"
433,20000,Centro,2,2.0,1.0,126.0,"increíble departamento en el corazón de la ciudad con acabados de primera. disfruta de todo lo que el centro histórico tiene para ofrecerte viviendo en un lugar único.

características:
-	3 pisos 
-	patio interno y balcón propio
-	2 habitaciones
-	2 baños completos
-	cocina integral de acero inoxidable
-	incluye un cajón de estacionamiento 
-	mantenimiento, agua y luz de áreas comunes incluidos en el precio de la renta
-	la estufa y el calentador son eléctricos. cada departamento tiene cinco paneles solares para reducir el consumo de luz.
-	el edificio cuenta con un sistema de captación de agua pluvial y reciclado de aguas grises para poder aprovechar al máximo el agua.
-       el departamento se renta sin muebles

126 m2 de construcción. 

precio de renta: $20,000.00"
434,16000,Corredor Comercial Desarrollo Atlixcayotl,2,2.0,2.0,120.0,"amplio departamento en renta con excelente ubicación:

características:
-	cocina 
-	sala 
-	comedor
-	terraza
-	dos habitaciones con baño completo cada una
-	2 cajones de estacionamiento 

amenidades:
-	alberca
-	gimnasio
-	ludoteca
-	sala de juntas
-	zona de reuniones
-	salón de eventos con cocina industrial con capacidad para más de 200 personas
-	sala de cine 
-	cancha de padel 
-	áreas verdes y juegos para niños 


renta mensual: $16,000 con mantenimiento incluido
120 m2 de construcción"
435,16000,Corredor Comercial Desarrollo Atlixcayotl,2,2.0,2.0,120.0,"amplio departamento en renta con excelente ubicación:

características:
- cocina
- sala
- comedor
- terraza
- dos habitaciones con baño completo cada una
- 2 cajones de estacionamiento

amenidades:
- alberca
- gimnasio
- ludoteca
- sala de juntas
- zona de reuniones
- salón de eventos con cocina industrial con capacidad para más de 200 personas
- sala de cine
- cancha de padel
- áreas verdes y juegos para niños
 
renta mensual:$ 16,000 
m2 120 constrrucción
m2 120 terreno
tamaño de cisterna : 100,000lt
cuenta con hidroneumático
aceptan mascotas"
436,10000,San Matías,2,2.0,1.0,89.0,"departamentos en renta y venta, con una excelente ubicación al quedar cerca de universidades como la upaep, a una cuadra de la avenida juárez.

los departamentos cuentan con:

- área para sala y comedor.
- cocina integral de granito.
- cuarto para lavadora y secadora.
- dos baños completos (uno en recamara principal)
- dos recamaras.
- un lugar de estacionamiento.
- elevador.
- roof garden.
- caseta con vigilante las 24 horas.

82 m2 y 89 m2 de construcción dependiendo modelo.

en renta $10,000.00 
en venta  $2,300,000.00"
437,11000,Reserva Territorial Atlixcáyotl,2,2.0,2.0,91.0,"departamento en renta 2 recamaras torre senza la noria puebla, excelente ubicación a un costado del centro comercial angelópolis y plaza solesta, vías principales como atlixcáyotl y blvd del niño poblano.

este departamento cuenta con sala, comedor, cocina integral, 2 recámaras, principal con baño y vestidor, área de lavado y dos lugares de estacionamiento. renta incluye mantenimiento.

torres senza cuenta con lugares para visitante, vigilancia las 24 hrs, lobby, elevador, cancha de tenis, roof garden y una vista impresionante de la zona de angelópolis.

seremos breves, si deseas invertir en bienes raíces, contamos con el proyecto para tu inversión en la mejor zona y con la más alta plusvalía de puebla.

llámanos y uno de nuestros asesores te atenderá para ofrecerte más información.

somos generadores de nuevos dueños.

deseas vender, comprar o rentar? casa, departamento o terreno? nosotros te asesoramos.

buscamos la casa de tus sueños!!!

somos expertos inmobiliarios en lomas de angelópolis."
438,12000,Zona Cementos Atoyac,2,2.0,2.0,114.0,"departamento en renta en residencial andalucía, un concepto único, ubicado en la zona de gran plusvalía de puebla muy cerca de plaza galerías serdán y salidas a la   autopista méxico-pue, a pocos minutos de la zona de angelópolis. rodeada de espectaculares áreas verdes lo convierten en un lugar privilegiado y en perfecta armonía con el medio ambiente. el residencial cuenta con áreas verdes, gimnasio, salón de usos múltiples con área de cocina y baños y acceso controlado con vigilancia las 24 horas.  el departamento cuenta con:  sala, comedor, cocina integral con barra de granito, área de lavado, 1/2 baño para visitas, 2 recámaras con baño completo cada una, 2 cajones de estacionamiento, persianas,  roof garden para uso exclusivo del departamento, con bodega.  ¡llama para agendar una cita!"
439,20000,Reforma Agua Azul,3,,3.0,,"penthouse de 194.7 m2, de 2 niveles con terraza.
3 habitaciones y cuarto de tv.
3 cajones de estacionamiento.

precio: $20,000.00
precio amueblado: $27,000.00"
440,12500,Reforma Agua Azul,2,2.0,2.0,,"departamento en renta en lomas de angelopolis 2 con espacios realmente amplios y precio de oportunidad.
a 2 min de sonata. brindandote todos los beneficios de formar parte de la comunidad de lomas de angelopolis.

carateristicas del departamento:

• sala.
• comedor.
• cocina.
• 2 recamaras  (recamara principal con doble lavabo) 
• 2  baños
• cuarto de lavado.
• vestidor
• 2 cajones de estacionamiento"
441,15000,Sta Cruz Buenavista,1,1.0,,,"increible loft en renta totalmente amueblado, de 2 pisos  ubicado en zavaleta por $15,000
aprovecha este increible precio de oportunidad
¡ven a conocerlo!

ubicado en un conjunto de 4 lofts, 1 departamento y 1 suite, el loft tiene 74 m2 habitables, una habitación con vestidor y baño, baño visitas, totalmente amueblado con decoración industrial estilo chelsea, es un estilo único en puebla.

la entrada de loft está ubicada en la plaza del árbol, con una terraza, que al abrir el gran ventanal, se integra la terraza con la sala.

en la planta baja, esta:
sala, comedor, cocina integral, medio baño, cuarto de lavado y despensa, patio de ventilación y desván.

en la planta media o mezanine, tiene:
amplio cuarto con cama queen, vestidor y baño completo, amplio corredor oficina y terraza hacia la plaza de villas florencia.

roof garden, comunicado con la gran escalera de caracol que comunica todo el loft. 

servicios:
amueblado;
muebles, 
tv con cablevisión;
conserjería; 
video vigilancia;
limpieza 1 vez por semana (no ropa, no platos o trastes de cocina),
nota.- si desea más días de limpieza son 150 por día adicional;
en la renta se incluye, luz, agua, gas, cable e internet;
wi-fi inalámbrico;
sistema de filtrado de agua;

villas florencia, está ubicado en la colonia residencial lomas de zavaleta, dentro del perímetro de 1 km se encuentra superama, restaurantes, tintorerías, laboratorios, office depot, gasolineras, bancos, etcétera. 

renta mensual por: 
a.-       de11 meses o más: $15 mil;
b.-       de 6 a 10 meses: $16 mil;
c.-       de 3 a 5 meses: $17 mil; 
d.-       de 1 a 2 meses: $18 mil; y
e.-        estancias menores de un mes $900 diarios (váucher de garantía de tarjeta de crédito)

se puede facturar como hospedaje, en tal caso aumentará el 16% de iva. 
¡agenda tu cita ya!
contáctanos al (222) 647-7729"
442,7000,Camino Real,2,2.0,2.0,96.0,"departamento en renta en camino real y circuito olmeca, el fraccionamiento cuenta con vigilancia. se ubica a 2 calles de camino real, a 5 minutos de periferico y la udlap. se ubica en 3 piso.

2 recamaras con closet

2 baños

sala-comedor

área de lavado

cocina con barra desayunadora de granito

cochera 2 autos

$7,000"
443,7500,Sta Cruz Los Ángeles,3,1.0,1.0,,"3 recámaras
baño completo
medio baño
sala comedor
cocina integral lavadero
pisos laminados
1 pto estacionamiento techado
95 m2
31 pte 
paladium
portón eléctrico
mantenimiento $550  
incluye agua

a 1 min colegio americano
a 2 minutos triángulo las ánimas
a 5 min.cc.angelopolis"
444,4800,Águila,1,1.0,,,"departamentos para ejecutivos amueblados super ubicados sobre la 25 poniente en puebla. con fácil accesos y transporte público a toda la ciudad. ideal para ejecutivos o estudiantes de la upaep por su cercanía.  
tenemos departamentos desde $4,800 pesos solo para una persona o por $1,000 pesos más se acepta otra. 
puedes tener cochera por $600 pesos más. 
no se aceptan mascotas, ni niños. easybroker id: eb-en5783"
445,3500,La Paz,1,1.0,,,"renta una recamara amueblada, con lo indispensable para vivir comodamente, cuenta con baño propio, la cocina y comedor son de uso comun.  no cuenta con estacionamiento, a unos metros esta una pension 
incluye servicios de agua, luz, internet y gas. solo pagas tu renta y te olvidas del pago de mas servicios!!
se aceptan estudiantes o ejecutivos, es un ambiente tranquilo. easybroker id: eb-fr4582"
446,10000,Puebla,2,2.0,,,"a solo 5 minutos de la udlpa, estos departamentos nuevos son ideales para estudiantes, familia pequeña, con fácil acceso a la recta a cholula y periférico.
ubicados en el 6o y 7o piso.
habitación principal con baño completo y closet
habitación secundaria con closet.
1 baño completo
sala
comedor
cocina con estufa y campana.
cuarto de lavado.
espacio para un auto.
elevador
terraza de uso común.
jardín de uso común.
seguridad 24/7. easybroker id: eb-fq1472"
447,17000,Centro,3,2.0,,,"amplio departamento estilo colonial  en dos pisos y  amueblado en la zona centro de la ciudad en conocido edificio de 12 departamentos llamado casa de la virgen.
tiene sala, comedor, cocina integral, una recamara en planta baja con bano
y dos recamaras en planta alta y sala de television
 cuarto  de lavado,  espacio para un auto porton electrico,  gas estacionario tinaco y medidor individual por departamento.
cuota mantenimiento  $1,500.00 pesos
no aceptan mascotas. easybroker id: eb-gm5470"
448,11000,Puebla,2,2.0,2.0,,"torre nidum / gran ubicación y vías acceso 
??mayorazgo 
??2 recamaras 
??2 baños completos 
??cocina integral equipada 
??área de lavado 
??sala / comedor amplios 
??2 lugares estacionamiento 
alberca g
gimnasio 
sala lounge 
elevadores 
*excelente vista a la ciudad"
449,15000,Reserva Territorial Atlixcáyotl,2,2.0,2.0,,"ofrezco ???? 
en renta departamento 
amueblado 
torre senza ???? 
la noria 
2 recamaras 
sala 
comedor 
cocina abierta 
área de lavado 
2 baños completos 
$15,000 
sin muebles 
$13,000"
450,16000,La Paz,1,1.0,1.0,,"vendo depa amueblado en la paz 
- 130m2

planta alta:
- recibidor 
- 1 habitación
- 1 baño completo

planta baja:
- comedor
- terraza 
- cocina
- cuarto de lavado
- 1/2 baño
- sala 

- 1 cajón de estacionamiento 
- roof top común"
451,19000,La Providencia,2,2.0,2.0,130.0,"-departamento con seguridad 24 horas, siempre hay un vigilante
-tiene portón eléctrico automático con control
-espacio para 2 automóviles en garage cubierto
-bodega disponible en el área de garage 
-acceso directo del garage al departamento por el elevador con tarjeta electrónica 
-la superficie de 130 metros cuadrados 
-dos recámaras: una con cama queen size, y otra con camas gemelas
-dos baños completos
-area de sala comedor amplia, con sillones,  mesas y comedor para 6 personas  
-area de bar con una barra, periqueras y una mesa de juegos  
-cocina con una pequeña barra, y completamente equipada con:
refrigerador, estufa, horno, microondas, licuadora, tostador, cafetera, batería y utensilios de cocina, vajilla, cubiertos y vasos 
-cuarto de lavado con lavadora, secadora y lavadero; con puerta de acceso a las escaleras de servicio
-área de terraza con vista a los volcanes y muebles de exterior
-cuenta también con pantalla plana de tv, internet y línea telefónica fija
el departamento está completamente amueblado y decorado con todo lo necesario para su uso inmediato como muebles en sala, comedor, recámaras, bar, barra de cocina, terraza, persianas traslúcidas, o
bscuras,  sábanas, toallas etc.
en el 7’ piso hay un rooftop para uso de los condóminos

su ubicación es inmejorable:
-a 4 minutos de angelópolis, 
-a 15 minutos del centro histórico, 
-a 20 minutos de cholula, 
-a 10 minutos de acceso al periférico, 
-en la esquina de dos de las principales vías circuito juan pablo ii y boulevard atlixco
renta: $20,000 (veinte mil pesos) ya con el mantenimiento mensual  del edificio incluído (que es de $2,000 aproximadamente) y comprende mantenimiento del elevador, sueldo de los guardias 24 horas al día los 7 días de la semana, y limpieza de todas las áreas comunes.
y la renta sin muebles es de $18,000"
452,11500,Zona Cementos Atoyac,2,2.0,2.0,,"características
1. 2 recámaras. la principal con vestidor
2. 2 baños completos
3. sala comedor
4. balcón
5. cuarto de lavado
6. 2 cajones de estacionamiento techados cercanos al elevador
7. ubicado en el 5to nivel donde se tiene una excelente vista al volcán la malinche
8. altura interior de 2.69 mts
9. su localización privilegiada en el desarrollo cumbres residencial resulta en la colindancia
con un solo vecino otorgando privacidad y confort
10. cuenta con
a. cocina importada de italia con cubiertas granito español
b. grifería helvex ahorradora
c. luminarias led de 9w
d. canceles con vidrio templado
e. pisos de porcelanato y en recámaras, piso laminado de 7mm
f. carpintería elaborada con material español y herrajes häfelele alemanes
g. en recámaras, piso laminado de 7mm
h. calentador bosch
i. estufa y campana
11. 77.5 metros cuadrados
departamento 506
  
características
11. amenidades del desarrollo
a. gimnasio completamente equipado con lockers, baños completos y sauna
b. salón de yoga (una vez al mes se imparte sesión de yoga son costo)
c. salón de usos múltiples equipado con sala, mesas, sillas, cocina y tv
d. pista para caminar y correr
12. comparte un elevador con 17 vecinos!
13. medidor de agua, gas y luz individual. el departamento esta certificado en materia de sustentabilidad por edge, filial
del banco mundial, lo que resultará en un ahorro económico en agua, luz y gas.
14. ubicado en blvd. 15 de mayo no. 4514 a espaldas de galerías serdán y junto a walmart
15. zona libre de tráfico"
453,25000,Centro Comercial Puebla,2,2.0,2.0,188.0,"departamento en renta frente a parque del arte y centro comercial angelopolis, puebla

2 recamaras ??

2 baños ??

sala-comedor ???

cocina integral con cubierta de granito ?????

área de lavado ??

amenidades

lobby ??

business center ??

area de juegos para niños ??

bar ??

áreas verdes ??

pet fiendly; zona para mascotas ??

alberca techada y climatizada ??

seguridad 24 horas ???????

áreas comunes como mesas exteriores e interiores ?? 

188.30 m2

precio de renta:
$25,000"
454,13500,Centros Comerciales Desarrollo Atlixcayotl,2,2.0,2.0,90.0,"hermoso departamento en renta, amueblado, frente a centro comercial angelopolis, a un lado de universidad ibero, via atlixcayotl. tambien se puede rentar sin muebles 13,000

sala-comedor
sala de tv
cocina integral con cubierta de granito
2 recamaras, 2 baños completos
área de lavado
bodega
2 cajones de estacionamiento
seguridad 24 hrs
elevador"
455,9000,Bello Horizonte,2,2.0,2.0,90.0,"hermosos departamentos nuevos en renta, acabados modernos
sala comedor, cocina integral con cubierta de granito, cochera 2 autos, área de lavado, a recamaras con closet, 2 baños completos, área de roof garden comun, portón electrico.

se encuentra a unas calles de la recta a cholula, periferico y camino real."
456,14000,Sta Cruz Buenavista,2,2.0,2.0,,"departamento en renta zavaleta 
centro zavaleta
a estrenar 

2 recamaras 
2 baños
sala
comedor 
cocina integral 
closet de lavado
2 lugares de estacionamiento 
bodega
segurdad 24/7
circuito cerrado 
mantenimiento incluido"
457,19900,Centro Comercial Angelopolis,2,2.0,2.0,,"•torre uma 
•enfrente de solesta 
•2 recamaras y mini cuarto de servicio
•sala 
•comedor
•2 baños
•alberca, spa, vapor, asadores, roof garden y camastros piso 31 
•pet center
•cafeteria de cortesia
•bar 
•concierge
•entrada privada a angelopolis
•elavador a solesta
•acabados de marmol y granito
•regaderas en area comun
•seguridad 24/7 
•acceso controlado con parkimovil al piso"
458,12000,Santa Cruz Buenavista Norte,2,2.0,1.0,,"departamento en renta zavaleta 
torre kupress
a estrenar 

2 recamaras 
2 baño 
sala
comedor 
cocina integral 
closet de lavado
1 lugare de estacionamiento 
segurdad 24/7
circuito cerrado 
mantenimiento incluido"
459,16000,Centro Comercial Puebla,3,2.0,2.0,180.0,"se renta pent-house amueblado en torre tamayo.

hermoso y sobre todo muy bien ubicado pent-house amueblado en la zona de angelópolis, a un costado del parque del arte, con la siguiente descripción:

amplia sala – comedor
cocina – desayunador con parrilla en isla y horno empotrado, campana de acero inoxidable y cristal, espaciosas alacenas, cubierta de granito, doble tarja y pre instalación para lavavajillas.
1/2 baño de visitas
3 amplias recámaras, todas con persianas y blackout ,
principal con vestidor y baño completo con 2 ovalines,
1 baño completo comparte 2 recamaras secundarias
cuarto de servicio con baño completo
área de lavado
roofgarden con terraza y área de asador
acceso de servicio completamente independiente
2 cajones de estacionamiento
bodega.
gas natural

amenidades del edificio:

salón de usos múltiples con baños separados.
vigilancia 24hrs con intercomunicación a los departamentos.
portones eléctricos para los cajones de estacionamiento.
hidroneumático.
elevador.
cerca electrificada perimetral.
excelente ubicación.

175m2 de construcción mas 80 mts de roofgarden con hermosas vistas
completamente amueblado

precio de renta $ 16,000.00 con mantenimiento incluido

previa cita"
460,17000,San José Del Puente,2,2.0,2.0,100.0,"departamento de lujo de 3 recamaras en renta en complejo cerrado torre huz designer house en zavaleta puebla , ubicado a un par de minutos de blvd. forjadores y de la calzada zavaleta.

fácil acceso a vías rápidas como zavaleta. forjadores, periférico y recta a cholula. 

descripción:
departamento en piso alto ubicado en una de las mejores zonas de puebla, con vistas espectaculares. las torres cuentan con acabados de lujo en sus detalles interiores, además de diversas amenidades

departamento tipo york.

el departamento cuenta con: 

3 habitaciones
2 baños completos 
baño de visitas. 
sala-comedor, 
cocina integral abierta, 
cuarto de lavado. 
cochera techada para 2 autos. 
bodega. 
accesibilidad para discapacitados
seguridad 24 horas
accesibilidad para adultos mayores

amenidades:
alberca 
terraza panorámica 
jardín
gimnasio
salón de usos múltiples 
salón para eventos
juegos para niños
area verde para mascotas

precio de renta $17,000.00 incluye mantenimiento.

nota** las fotos son del departamento muestra y se exhiben únicamente como referencia
previa cita"
461,15000,Corredor Comercial Desarrollo Atlixcayotl,2,2.0,,,"modernos departamentos ejecutivos de 2 pisos
en la boyante zona comercial y de negocios atlixcáyotl de la angelópolis
frente al tec de monterrey, atrás de agencia porsche sobre la avenida atlixcáyotl 

sala comedor cocina equipada en lounge
2 recámaras con clósets y 2 baños completos
estacionamiento p/2 autos
lavadora y secadora en cada piso 
roof garden comunitario con gimnasio y sala de reuniones 
acabados contemporáneos de buen gusto

amueblado básico: sala comedor p/6pax, 2 camas queen y burós, escritorio y sillón ejecutivo, cortinas, lámparas y decoración

renta incluye: 
agua, gas, internet, vigilancia, uso de máquinas de lavado y roof garden 
extra por pagar: electricidad (~180 pesos bimestrales). easybroker id: eb-aw4554"
462,8500,Reforma,3,2.0,,,"condominio privado libertad en la bien comunicada col. reforma sur
conjunto de dos edificios ideados para convivencia armónica
4 niveles de 8 departamentos cada uno 
patio adoquinado de estacionamientos con paisaje arraigado
arquitectura de vanguardia y calidad
acceso único y controlado
comunicado eficazmente por las avenidas reforma y e. antuñano

distribución arquitectónica:
sala comedor
cocina integral c/cubierta de granito
3 recámaras (rec. principal c/vestidor y baño privado)
recámaras secundarias c/clóset
2 baños completos (uno compartido y para visitas)
cuarto de lavado
2 estacionamientos abiertos 

persianas y blackouts
acabados contemporáneos de última generación
carpintería a medida
accesorios ecoamigables en consumo de agua y electricidad
roof garden c/asador para uso de los condóminos
estacionamiento para visitas (4 coches)
jardín exterior. easybroker id: eb-fc2868"
463,6000,Centro,3,2.0,,250.0,"excelente departamento en renta en el centro de puebla. tiene: 3 recámaras, sala comedor, cocina, cuarto de servicio, zotehuela, 2 baños completos. la renta incluye el agua, mantenimiento y servicio de portería."
464,11000,La Loma,2,2.0,2.0,97.0,"departamento nuevo en renta  en torre ziete zavaleta 

departamento en primer piso 
dos recámaras con closet cada una 
recámara principal con baño 
dos baños completos 
sala comedor 
cocina integral equipada con estufa y campana 
área de lavado 

amenidades: gimnasio, área social, roof garden. 
estacionamiento para dos autos 
vigilancia 24 horas 
elevador
persianas"
